Title,Date Published,Reviews,Author(s),Genre,Type,Format
"The Paris Connection: Escape to Paris with the funny, romantic and feel-good love story of 2022!", 2022,820,Lorraine Brown,Education & History,Non Fiction,Paperback
Somebody Swallowed Stanley, 2019,821,Sarah Roberts,Education & History,Fiction,Audio CD
Collins Complete Woodworker's Manual, 2005,818,Albert Jackson,Education & History,Non Fiction,Hardcover
Building Beehives For Dummies, 2019,816,Howland Blackiston,Education & History,Fiction,Paperback
If You’d Just Let Me Finish, 2019,814,Jeremy Clarkson,Education & History,Non Fiction,Audio CD
The Complete Book of Corvette: Every Model Since 1953 - Revised & Updated Includes New Mid-Engine Corvette Stingray (Complete Book Series), 2020,810,Mike Mueller,Education & History,Fiction,Hardcover
Special Operations Forces Medical Handbook, 2011,815,Department of Defense,Education & History,Non Fiction,Paperback
Compact Cabins: Simple Living in 1000 Square Feet or Less, 2010,807,Gerald Rowan,Education & History,Fiction,Audio CD
Going Off the Grid: The How-To-Book of Simple Living and Happiness, 2017,811,Gary Collins,Education & History,Non Fiction,Hardcover
"The Backyard Homestead Book of Building Projects: 76 Useful Things You Can Build to Create Customized Working Spaces and Storage Facilities, Equip the ... Animals, and Make Practical Outdoor Furniture", 2014,807,Spike Carlsen,Education & History,Fiction,Paperback
Aircraft: The Definitive Visual History (DK Smithsonian), 2022,812,DK,Education & History,Non Fiction,Audio CD
Fly Into the Wind: How to Harness Faith and Fearlessness on Your Ascent to Greatness, 2020,807,Lt Colonel Dan Rooney,Education & History,Fiction,Hardcover
The Outlaw Ocean: Journeys Across the Last Untamed Frontier, 2020,806,Ian Urbina,Education & History,Non Fiction,Paperback
Competing in the Age of AI: Strategy and Leadership When Algorithms and Networks Run the World, 2020,803,Marco Iansiti,Education & History,Fiction,Audio CD
101 Projects for Your Porsche Boxster (Motorbooks Workshop), 2011,841,Wayne R. Dempsey,Education & History,Non Fiction,Hardcover
"Big Data: A Revolution That Will Transform How We Live, Work, and Think", 2014,841,Viktor Mayer-Schönberger,Education & History,Fiction,Paperback
Quantum Physics for Beginners: From Wave Theory to Quantum Computing. Understanding How Everything Works by a Simplified Explanation of Quantum Physics and Mechanics Principles, 2021,841,Carl J. Pratt,Education & History,Non Fiction,Audio CD
The Great Railway Bazaar, 2006,844,Paul Theroux,Education & History,Fiction,Hardcover
Word Search for Kids Ages 8-10: 100 Word Search Puzzles, 2021,841,Word Adventure Books,Education & History,Non Fiction,Paperback
"Crafting with Wood Pallets: Projects for Rustic Furniture, Decor, Art, Gifts and more", 2015,834,Becky Lamb,Education & History,Fiction,Audio CD
The World Is Flat 3.0: A Brief History of the Twenty-first Century (Further Updated and Expanded), 2007,838,Thomas L. Friedman,Education & History,Non Fiction,Hardcover
