Title,Date Published,Reviews,Author(s),Genre,Type,Format
"The Burning White (Lightbringer, 5)", 2020,5558,Brent Weeks,Fantasy & Sci-fi,Fiction,Paperback
The Palace of Illusions: A Novel, 2009,5542,Chitra Banerjee Divakaruni,Fantasy & Sci-fi,Non Fiction,Audio CD
Rendezvous With Rama, 2020,5552,Arthur C. Clarke,Fantasy & Sci-fi,Fiction,Hardcover
"Dark Song (Carpathian Novel, A)", 2021,5575,Christine Feehan,Fantasy & Sci-fi,Non Fiction,Paperback
"Dark Harmony (The Bargainer, 4)", 2021,5527,Laura Thalassa,Fantasy & Sci-fi,Fiction,Audio CD
The Last Dragon King: Kings of Avalier, 2022,5519,Leia Stone,Fantasy & Sci-fi,Non Fiction,Hardcover
The Savior (17) (The Black Dagger Brotherhood series), 2019,5549,J.R. Ward,Fantasy & Sci-fi,Fiction,Paperback
"Blood Song (Raven's Shadow, 1)", 2015,5542,Anthony Ryan,Fantasy & Sci-fi,Non Fiction,Audio CD
"Before They Are Hanged (The First Law Trilogy, 2)", 2015,5520,Joe Abercrombie,Fantasy & Sci-fi,Fiction,Hardcover
"A Desolation Called Peace (Teixcalaan, 2)", 2021,5534,Arkady Martine,Fantasy & Sci-fi,Non Fiction,Paperback
"The Galaxy, and the Ground Within: A Novel (Wayfarers, 4)", 2021,5504,Becky Chambers,Fantasy & Sci-fi,Fiction,Audio CD
"Grave Peril (The Dresden Files, Book 3)", 2001,5517,Jim Butcher,Fantasy & Sci-fi,Non Fiction,Hardcover
Genome (The Extinction Files), 2019,5482,A.G. Riddle,Fantasy & Sci-fi,Fiction,Paperback
The Time Keeper, 2013,5509,Mitch Albom,Fantasy & Sci-fi,Non Fiction,Audio CD
Heaven's River (Bobiverse), 2020,5500,Dennis E. Taylor,Fantasy & Sci-fi,Fiction,Hardcover
Silence Fallen (A Mercy Thompson Novel), 2018,5671,Patricia Briggs,Fantasy & Sci-fi,Non Fiction,Paperback
"Dark Tarot (Carpathian Novel, A)", 2022,5663,Christine Feehan,Fantasy & Sci-fi,Fiction,Audio CD
The Alchemist: 25th Anniversary Edition, 2014,5687,Paulo Coelho,Fantasy & Sci-fi,Non Fiction,Hardcover
"The Light Fantastic: A Novel of Discworld (Discworld, 2)", 2013,5661,Terry Pratchett,Fantasy & Sci-fi,Fiction,Paperback
Ghostwater (Cradle), 2018,5657,Will Wight,Fantasy & Sci-fi,Non Fiction,Audio CD
The Primal Hunter: A LitRPG Adventure, 2022,5687,Zogarth,Fantasy & Sci-fi,Fiction,Hardcover
Outlawed, 2021,5626,Anna North,Fantasy & Sci-fi,Non Fiction,Paperback
Spinning Silver: A Novel, 2019,5634,Naomi Novik,Fantasy & Sci-fi,Fiction,Audio CD
"Mort: A Novel of Discworld (Discworld, 4)", 2013,5638,Terry Pratchett,Fantasy & Sci-fi,Non Fiction,Hardcover
Wild Lands (Savage Lands), 2021,5588,Stacey Marie Brown,Fantasy & Sci-fi,Fiction,Paperback
Mind's Eye (Nick Hall), 2014,5607,Douglas E. Richards,Fantasy & Sci-fi,Non Fiction,Audio CD
"A Psalm for the Wild-Built (Monk & Robot, 1)", 2021,5583,Becky Chambers,Fantasy & Sci-fi,Fiction,Hardcover
The Mortal Instruments Boxed Set, 2019,5589,Cassandra Clare,Fantasy & Sci-fi,Non Fiction,Paperback
"Black Hat, White Witch (Black Hat Bureau)", 2021,5594,Hailey Edwards,Fantasy & Sci-fi,Fiction,Audio CD
The Eyes of the Dragon: A Novel, 2018,5602,Stephen King,Fantasy & Sci-fi,Non Fiction,Hardcover
"Secrets in Death: An Eve Dallas Novel (In Death, 45)", 2018,5784,J. D. Robb,Fantasy & Sci-fi,Fiction,Paperback
The Third Twin, 1997,5786,Ken Follett,Fantasy & Sci-fi,Non Fiction,Audio CD
The Complete Chronicles of Narnia ( Boxed Set 7 Books ), 1995,5747,C. S. Lewis,Fantasy & Sci-fi,Fiction,Hardcover
The Golden Enclaves: A Novel (The Scholomance), 2022,5754,Naomi Novik,Fantasy & Sci-fi,Non Fiction,Paperback
Blackflame (Cradle), 2017,5725,Will Wight,Fantasy & Sci-fi,Fiction,Audio CD
"Lady's Ransom (The First Argentines, 3)", 2021,5723,Jeff Wheeler,Fantasy & Sci-fi,Non Fiction,Hardcover
Underlord (Cradle), 2019,5723,Will Wight,Fantasy & Sci-fi,Fiction,Paperback
Kafka on the Shore, 2005,5726,Haruki Murakami,Fantasy & Sci-fi,Non Fiction,Audio CD
"Orders of Battle (Frontlines, 7)", 2020,5716,Marko Kloos,Fantasy & Sci-fi,Fiction,Hardcover
The Shadows (Black Dagger Brotherhood), 2015,5710,J.R. Ward,Fantasy & Sci-fi,Non Fiction,Paperback
Jonathan Strange and Mr. Norrell, 2005,5708,Susanna Clarke,Fantasy & Sci-fi,Fiction,Audio CD
Mind Over Magic (A Witch in Wolf Wood), 2021,5731,Lindsay Buroker,Fantasy & Sci-fi,Non Fiction,Hardcover
Snow Crash: Deluxe Edition, 2022,5729,Neal Stephenson,Fantasy & Sci-fi,Fiction,Paperback
"Moon Called (Mercy Thompson, Book 1)", 2006,5692,Patricia Briggs,Fantasy & Sci-fi,Non Fiction,Audio CD
"Wings of Fury (Wings of Fury, 1)", 2021,5700,Emily R. King,Fantasy & Sci-fi,Fiction,Hardcover
"Gardens of the Moon (The Malazan Book of the Fallen, Book 1)", 2004,5678,Steven Erikson,Fantasy & Sci-fi,Non Fiction,Paperback
Cold Days (Dresden Files), 2013,5859,Jim Butcher,Fantasy & Sci-fi,Fiction,Audio CD
The Invisible Man (Signet Classics), 2010,5871,H. G. Wells,Fantasy & Sci-fi,Non Fiction,Hardcover
Batman: Bat Signal (RP Minis), 2012,5853,Danielle Selber,Fantasy & Sci-fi,Fiction,Paperback
The Legend of Zelda: Breath of the Wild--Creating a Champion, 2018,5855,Nintendo,Fantasy & Sci-fi,Non Fiction,Audio CD
The Wretched of Muirwood (Legends of Muirwood), 2013,5852,Jeff Wheeler,Fantasy & Sci-fi,Fiction,Hardcover
"Shadows of Self: A Mistborn Novel (The Mistborn Saga, 5)", 2016,5813,Brandon Sanderson,Fantasy & Sci-fi,Non Fiction,Paperback
Midlife Demon Hunter: A Paranormal Women's Fiction Novel (The Forty Proof Series), 2020,5793,Shannon Mayer,Fantasy & Sci-fi,Fiction,Audio CD
The Scent Keeper: A Novel, 2020,5791,Erica Bauermeister,Fantasy & Sci-fi,Non Fiction,Hardcover
