Title,Date Published,Reviews,Author(s),Genre,Type,Format
Deadly Fallout (Detective Zoe Finch),2021,7767,Rachel McLean,Mystery,Fiction,Paperback
Longstone: A DCI Ryan Mystery (The DCI Ryan Mysteries),2018,7792,LJ Ross,Mystery,Fiction,Audio CD
Next to Last Stand: A Longmire Mystery,2021,7751,Craig Johnson,Mystery,Fiction,Hardcover
"Swansong (DI Nick Dixon Crime, 4)",2015,7762,Damien Boyd,Mystery,Non Fiction,Paperback
Piece of My Heart (An Under Suspicion Novel),2021,7712,Mary Higgins Clark,Mystery,Fiction,Audio CD
The New Wife: A totally gripping psychological thriller with a twist you won't see coming,2021,7756,Sue Watson,Mystery,Non Fiction,Hardcover
Save Her Soul: An absolutely unputdownable crime thriller and mystery novel (Detective Josie Quinn),2020,7736,Lisa Regan,Mystery,Non Fiction,Paperback
Diablo Mesa,2022,7704,Douglas Preston,Mystery,Fiction,Audio CD
Close to Home: A Novel (A DI Adam Fawley Novel),2018,7689,Cara Hunter,Mystery,Non Fiction,Hardcover
"Trunk Music (A Harry Bosch Novel, 5)",2013,7738,Michael Connelly,Mystery,Non Fiction,Paperback
Darkness Falls: A Kate Marshall Thriller,2021,7721,Robert Bryndza,Mystery,Fiction,Audio CD
The Man Who Didn't Call,2019,7686,Rosie Walsh,Mystery,Non Fiction,Hardcover
"Evil Games (Detective Kim Stone, 2)",2021,7703,Angela Marsons,Mystery,Non Fiction,Paperback
Corpse Road: A DCI Harry Grimm Novel (DCI Harry Grimm Crime Thrillers),2020,7684,David J Gatward,Mystery,Fiction,Audio CD
Dirty Little Secrets: A J.J. Graves Mystery,2012,7663,Liliana Hart,Mystery,Non Fiction,Hardcover
"Frightfully Fortune (Miss Fortune Mysteries, 20)",2021,7974,Jana DeLeon,Mystery,Non Fiction,Paperback
Blacktop Wasteland,2021,7989,S A Cosby,Mystery,Fiction,Audio CD
I Will Make You Pay,2019,7921,Teresa Driscoll,Mystery,Non Fiction,Hardcover
The House of Closed Doors,2020,7953,Jane Steen,Mystery,Non Fiction,Paperback
Minutes to Kill (Scarlet Falls),2015,7972,Melinda Leigh,Mystery,Fiction,Audio CD
The Cleaner: 1 (John Milton),2020,7938,Mark Dawson,Mystery,Non Fiction,Hardcover
"Truth and Lies (A DI Amy Winter Thriller, 1)",2018,7854,Caroline Mitchell,Mystery,Non Fiction,Paperback
"The Sound of Rain (Nicole Foster Thriller, 1)",2016,7919,Gregg Olsen,Mystery,Fiction,Audio CD
The Names of the Dead,2020,7872,Kevin Wignall,Mystery,Non Fiction,Hardcover
One Year Gone: A Novel,2021,7842,Avery Bishop,Mystery,Non Fiction,Paperback
"The Lantern Men: A Mystery (Ruth Galloway Mysteries, 12)",2021,7830,Elly Griffiths,Mystery,Fiction,Audio CD
"15th Affair (Women's Murder Club, 15)",2017,7865,James Patterson,Mystery,Non Fiction,Hardcover
Borderlands: A DCI Ryan Mystery (The DCI Ryan Mysteries),2019,7816,LJ Ross,Mystery,Non Fiction,Paperback
The Water Keeper (A Murphy Shepherd Novel),2021,7821,Charles Martin,Mystery,Fiction,Audio CD
Near You,2021,7793,Mary Burton,Mystery,Non Fiction,Hardcover
"The Crow Trap: The First Vera Stanhope Mystery (Vera Stanhope, 1)",2017,7768,Ann Cleeves,Mystery,Non Fiction,Paperback
"Hour Game (King & Maxwell Series, 2)",2013,8201,David Baldacci,Mystery,Fiction,Audio CD
The Moor: A DCI Ryan Mystery (The DCI Ryan Mysteries),2019,8143,LJ Ross,Mystery,Non Fiction,Hardcover
Slough House,2021,8173,Mick Herron,Mystery,Non Fiction,Paperback
"TESTAMENT,THE - LARGE PRINT",1999,8155,John Grisham,Mystery,Fiction,Audio CD
Blood and Treachery: A Scottish Crime Thriller (DCI Logan Crime Thrillers),2019,8141,JD Kirk,Mystery,Non Fiction,Hardcover
Hidden (A Bone Secrets Novel),2012,8105,Kendra Elliot,Mystery,Non Fiction,Paperback
Rivers of London,2011,8053,Ben Aaronovitch,Mystery,Fiction,Audio CD
Best Served Cold: A DCI Harry Grimm Novel (DCI Harry Grimm Crime Thrillers),2020,8047,David J Gatward,Mystery,Non Fiction,Hardcover
"The Drop (A Harry Bosch Novel, 15)",2019,8021,Michael Connelly,Mystery,Non Fiction,Paperback
Hour of the Witch: A Novel (Vintage Contemporaries),2022,7997,Chris Bohjalian,Mystery,Fiction,Audio CD
The Retreat,2018,8027,Mark Edwards,Mystery,Non Fiction,Hardcover
"Riley Thorn and the Dead Guy Next Door (Riley Thorn, 1)",2022,7980,Lucy Score,Mystery,Non Fiction,Paperback
"Target: Alex Cross (An Alex Cross Thriller, 24)",2018,8013,James Patterson,Mystery,Fiction,Audio CD
"The Scarecrow (Jack McEvoy, 2)",2018,7955,Michael Connelly,Mystery,Non Fiction,Hardcover
Vanished (Callahan & McLane),2014,8280,Kendra Elliot,Mystery,Non Fiction,Paperback
Force of Nature: A Novel,2019,8312,Jane Harper,Mystery,Fiction,Audio CD
Snow: A Novel,2021,8275,John Banville,Mystery,Non Fiction,Hardcover
The Kind Worth Saving: A Novel,2023,8308,Peter Swanson,Mystery,Non Fiction,Paperback
"16th Seduction (Women's Murder Club, 16)",2018,8300,James Patterson,Mystery,Fiction,Audio CD
"The Last Coyote (A Harry Bosch Novel, 4)",2013,8259,Michael Connelly,Mystery,Non Fiction,Hardcover
Dark Skies: A DCI Ryan Mystery (The DCI Ryan Mysteries),2017,8279,LJ Ross,Mystery,Non Fiction,Paperback
Run Away,2019,8255,Harlan Coben,Mystery,Fiction,Audio CD
Cragside: A DCI Ryan Mystery (The DCI Ryan Mysteries),2017,8271,LJ Ross,Mystery,Non Fiction,Hardcover
Skin Game (Dresden Files),2015,8247,Jim Butcher,Mystery,Non Fiction,Paperback
Steal,2022,8234,James Patterson,Mystery,Fiction,Audio CD
Angel: A DCI Ryan Mystery (The DCI Ryan Mysteries),2016,8196,LJ Ross,Mystery,Non Fiction,Hardcover
"12th of Never (A Women's Murder Club Thriller, 12)",2014,8245,James Patterson,Mystery,Non Fiction,Paperback
The Desert of Glass (Monument),2021,8219,Michael C. Grumley,Mystery,Fiction,Audio CD
Notorious Nineteen: A Stephanie Plum Novel,2013,8189,Janet Evanovich,Mystery,Non Fiction,Hardcover
Breathe Your Last: An addictive and nail-biting crime thriller (Detective Josie Quinn),2020,8436,Lisa Regan,Mystery,Non Fiction,Paperback
"Snow Creek (Detective Megan Carpenter, 1)",2021,8425,Gregg Olsen,Mystery,Fiction,Audio CD
His & Hers,2021,8471,Alice Feeney,Mystery,Non Fiction,Hardcover
The Key to Rebecca,2003,8419,Ken Follett,Mystery,Non Fiction,Paperback
Restless Dead (DCI Harry Grimm Crime Thrillers),2021,8448,David J. Gatward,Mystery,Fiction,Audio CD
The Hermitage: A DCI Ryan Mystery (The DCI Ryan Mysteries),2018,8478,LJ Ross,Mystery,Non Fiction,Hardcover
"Vendetta in Death: An Eve Dallas Novel (In Death, 49)",2019,8422,J. D. Robb,Mystery,Non Fiction,Paperback
Carrie,2018,8400,Stephen King,Mystery,Fiction,Audio CD
Lies We Bury,2021,8376,Elle Marr,Mystery,Non Fiction,Hardcover
Total Control,2019,8381,David Baldacci,Mystery,Non Fiction,Paperback
Hysteria (The Alexander Gregory Thrillers),2019,8314,LJ Ross,Mystery,Fiction,Audio CD
