Title,Date Published,Reviews,Author(s),Genre,Type,Format
That Month in Tuscany, 2018,6522,Inglath Cooper,Romance,Non Fiction,Paperback
"Bridged (Callahan & McLane, 2)", 2015,6558,Kendra Elliot,Romance,Fiction,Audio CD
Snow Falling, 2017,6519,Jane Gloriana Villanueva,Romance,Non Fiction,Hardcover
The Unwanted Wife, 2014,6517,Natasha Anders,Romance,Fiction,Paperback
Sin & Lightning (Demigods of San Francisco), 2020,6523,K.F. Breene,Romance,Non Fiction,Audio CD
And Then She Was Gone, 2016,6495,Christopher Greyson,Romance,Fiction,Hardcover
The Cactus: A Novel, 2019,6509,Sarah Haywood,Romance,Non Fiction,Paperback
Persuasion (Penguin Clothbound Classics), 2012,6504,Jane Austen,Romance,Fiction,Audio CD
The Sometimes Sisters, 2018,6500,Carolyn Brown,Romance,Non Fiction,Hardcover
"Return to Virgin River: A Novel (A Virgin River Novel, 19)", 2021,6502,Robyn Carr,Romance,Fiction,Paperback
Rich People Problems (Crazy Rich Asians Trilogy), 2018,6482,Kevin Kwan,Romance,Non Fiction,Audio CD
Alpha's Temptation: A Billionaire Werewolf Romance (Bad Boy Alphas), 2017,6481,Renee Rose,Romance,Fiction,Hardcover
Apprentice in Death, 2017,6453,J. D. Robb,Romance,Non Fiction,Paperback
The Perfect Hope (Inn BoonsBoro), 2014,6468,Nora Roberts,Romance,Fiction,Audio CD
The Heir: Limited Edition Cover (Kingmakers), 2022,6497,Sophie Lark,Romance,Non Fiction,Hardcover
The Magnolia Inn, 2019,6665,Carolyn Brown,Romance,Fiction,Paperback
The Collector, 2016,6661,Nora Roberts,Romance,Non Fiction,Audio CD
"Leverage in Death: An Eve Dallas Novel (In Death, 47)", 2018,6611,J. D. Robb,Romance,Fiction,Hardcover
Sense and Sensibility (Penguin Classics), 2003,6640,Jane Austen,Romance,Non Fiction,Paperback
No More Secrets: A Small Town Love Story (Blue Moon), 2016,6619,Lucy Score,Romance,Fiction,Audio CD
Say Yes to the Boss, 2022,6658,Olivia Hayle,Romance,Non Fiction,Hardcover
Juniper Hill (The Edens), 2022,6608,Devney Perry,Romance,Fiction,Paperback
Heart of Hope, 2022,6608,Lucy Score,Romance,Non Fiction,Audio CD
"Battle With Fire (Demon Days, Vampire Nights World)", 2021,6591,K.F. Breene,Romance,Fiction,Hardcover
The Christmas Escape: A Novel, 2021,6558,Sarah Morgan,Romance,Non Fiction,Paperback
The Guardian, 2019,6591,Nicholas Sparks,Romance,Fiction,Audio CD
The Homewreckers: A Novel, 2022,6582,Mary Kay Andrews,Romance,Non Fiction,Hardcover
Bittersweet Memories (Off-Limits), 2022,6552,Catharina Maura,Romance,Fiction,Paperback
Unlikely Date: A Grumpy Hero Single Parent Romance (The Brothers of Calloway Creek: The Calloways), 2022,6578,Samantha Christy,Romance,Non Fiction,Audio CD
God of Malice: A Dark College Romance (Legacy of Gods), 2022,6518,Rina Kent,Romance,Fiction,Hardcover
The Pact: A Love Story, 2006,6517,Jodi Picoult,Romance,Non Fiction,Paperback
Forbidden (Ward Sisters), 2021,6765,Karla Sorensen,Romance,Fiction,Audio CD
Cut and Run, 2018,6769,Mary Burton,Romance,Non Fiction,Hardcover
The Dragon's Bride (A Deal With A Demon), 2022,6780,Katee Robert,Romance,Fiction,Paperback
Heartless: A Small Town Single Dad Romance, 2022,6714,Elsie Silver,Romance,Non Fiction,Audio CD
Sin & Spirit (4) (Demigods of San Francisco), 2020,6718,K.F. Breene,Romance,Fiction,Hardcover
WHAT YOU DID (Eva Rae Thomas Mystery), 2019,6779,Willow Rose,Romance,Non Fiction,Paperback
The Wrong Kind of Love (The Boys of Jackson Harbor), 2018,6739,Lexi Ryan,Romance,Fiction,Audio CD
"Dark in Death: An Eve Dallas Novel (In Death, 46)", 2018,6707,J. D. Robb,Romance,Non Fiction,Hardcover
Puck Me Secretly (A Vancouver Wolves Hockey Romance), 2018,6740,Odette Stone,Romance,Fiction,Paperback
Fall into Temptation: A Small Town Love Story (Blue Moon), 2016,6720,Lucy Score,Romance,Non Fiction,Audio CD
Barbarian Mine (Ice Planet Barbarians), 2022,6661,Ruby Dixon,Romance,Fiction,Hardcover
A Walk to Remember, 2019,6638,Nicholas Sparks,Romance,Non Fiction,Paperback
Josh and Hazel's Guide to Not Dating, 2018,6636,Christina Lauren,Romance,Fiction,Audio CD
Breathless: Steel Brothers Saga Book 10 (10), 2019,6682,Helen Hardt,Romance,Non Fiction,Hardcover
Eruption (The Hunted Series Book 3), 2016,6654,Ivy Smoak,Romance,Fiction,Paperback
The Sunshine Club, 2021,6666,Carolyn Brown,Romance,Non Fiction,Audio CD
The Confidence of Wildflowers, 2022,6902,Micalea Smeltzer,Romance,Fiction,Hardcover
Rock Bottom Girl: A Small Town Romantic Comedy, 2019,6847,Lucy Score,Romance,Non Fiction,Paperback
The Girl Next Door (Emma Griffin® FBI Mystery), 2020,6835,A.J. Rivers,Romance,Fiction,Audio CD
Trouble in Mudbug (Ghost-in-Law Mystery Romance), 2013,6874,Jana DeLeon,Romance,Non Fiction,Hardcover
Nantucket News (Nantucket Beach Plum Cove), 2021,6817,Pamela M. Kelley,Romance,Fiction,Paperback
Lord of Embers (2) (The Demon Queen Trials), 2022,6836,C.N. Crawford,Romance,Non Fiction,Audio CD
Wait With Me, 2018,6829,Amy Daws,Romance,Fiction,Hardcover
City of Thorns (The Demon Queen Trials), 2021,6785,C N Crawford,Romance,Non Fiction,Paperback
Sweet Temptation, 2020,6807,Cora Reilly,Romance,Fiction,Audio CD
Savage Lands, 2021,6780,Stacey Marie Brown,Romance,Non Fiction,Hardcover
WHAT YOU DID (Eva Rae Thomas Mystery), 2019,6779,Willow Rose,Romance,Fiction,Paperback
Diary of an Oxygen Thief (1) (The Oxygen Thief Diaries), 2016,6777,Anonymous,Romance,Non Fiction,Audio CD
"Raised in Fire (Demon Days, Vampire Nights World)", 2017,6799,K.F. Breene,Romance,Fiction,Hardcover
The Sinner (18) (The Black Dagger Brotherhood series), 2020,6822,J.R. Ward,Romance,Non Fiction,Paperback
Devotion (Hunted), 2016,6817,Ivy Smoak,Romance,Fiction,Audio CD
The Time Traveler's Wife, 2014,6793,Audrey Niffenegger,Romance,Non Fiction,Hardcover
"The Tuscan Secret: An absolutely gripping, emotional, World War 2 historical novel", 2019,6921,Angela Petch,Romance,Fiction,Paperback
Breakfast at the Beach House Hotel, 2015,6966,Judith Keim,Romance,Non Fiction,Audio CD
"Rafael (Anita Blake, Vampire Hunter)", 2021,6909,Laurell K. Hamilton,Romance,Fiction,Hardcover
The Shell Seekers, 2015,6907,Rosamunde Pilcher,Romance,Non Fiction,Paperback
Club 22, 2021,6942,Tate James,Romance,Fiction,Audio CD
Never Never: A Novel, 2023,6910,Colleen Hoover,Romance,Non Fiction,Hardcover
Chasing Her Fire: A Small Town Family Romance (The Bailey Brothers), 2021,6924,Claire Kingsley,Romance,Fiction,Paperback
The Search, 2011,6923,Nora Roberts,Romance,Non Fiction,Audio CD
The West's Awake: The Queenstown Series - Book 2 (The Queenstown Series - Large Print), 2021,6886,Jean Grainger,Romance,Fiction,Hardcover
Storm Cursed (A Mercy Thompson Novel), 2020,6925,Patricia Briggs,Romance,Non Fiction,Paperback
Don't You Forget About Me: A Novel, 2019,6913,Mhairi McFarlane,Romance,Fiction,Audio CD
